Id,Status,Name,Description,Particpation,Location,Add,Tel,Org,Start,End,Cycle,Noncycle,Map,Px,Py,Travellinginfo,Parkinginfo,Charge,Remarks,Changetime
C2_397000000A_003138,2,Skyline Film 7月 高雄駁二屋頂放映,無,一般民眾,to see the official site,高雄市803鹽埕區大勇路1號,886-7-7995678,駁二藝術特區,2020/7/24 18:00,2020/7/25 22:30,,,,120.28534,22.62679,,,,,2020/7/20 18:47
C2_397000000A_003155,2,黏土.袖珍展Clay.Miniature,無,一般民眾,to see the official site,高雄市802苓雅區五福一路67號,886-7-7995678,高雄市政府文化局,2020/7/24 00:00,2020/8/4 23:59,,,,120.31814,22.6258,,,,,2020/7/24 15:22
C2_397000000A_003157,2,觀察者之眼-余政諺個展,無,一般民眾,to see the official site,高雄市800新興區五福一路67號,886-7-7995678,高雄市政府文化局,2020/7/24 00:00,2020/8/4 23:59,,,,120.31814,22.6258,,,,,2020/7/27 10:58
C2_397000000A_003159,2,2020 Salut Taiwan 夏綠台灣音樂會,無,一般民眾,to see the official site,高雄市800新興區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/2 14:30,2020/8/2 20:00,,,,120.33331,22.62367,,,,,2020/7/24 15:39
C2_397000000A_003163,2,愛河水漾嘉年華 8/1-2、8/8-9河西路願景橋不見不散,無,一般民眾,to see the official site,高雄市804鼓山區河西路願景橋,886-7-7995678,高雄市政府觀光局,2020/8/1 00:00,2020/8/9 23:59,,,,120.28636,22.65059,,,,,2021/6/25 09:31
C2_397000000A_003169,2,【衛武營小時光】Wooden Man 木頭超人,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/7 20:00,2020/8/7 22:00,,,,120.34221,22.62417,,,,,2020/7/31 18:33
C2_397000000A_003171,2,「打開畫匣子－美術在高雄」舊愛與新歡－洪正敏攝影展,無,一般民眾,to see the official site,高雄市802苓雅區五福一路67號,886-7-7995678,高雄市政府文化局,2020/7/29 00:00,2020/8/9 23:59,,,,120.31814,22.6258,,,,,2020/7/31 18:37
C2_397000000A_003174,2,2020舞鈴劇場《奇幻旅程ENTRANCE》,無,一般民眾,to see the official site,高雄市800新興區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/8 10:30,2020/8/9 23:59,,,,120.33331,22.62367,,,,,2020/8/3 19:09
C2_397000000A_003176,2,2020鑼鼓齊鳴慶豐收音樂會,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/8 14:00,2020/8/8 23:59,,,,120.34221,22.62417,,,,,2020/8/4 20:09
C2_397000000A_003180,2,8月8日壽山動物園「暑期同樂會-動物奇遇記」活動將在本週六下午15:30盛大舉辦,無,一般民眾,to see the official site,高雄市804鼓山區萬壽路350號,886-7-7995678,壽山動物園,2020/8/8 15:30,2020/8/30 23:59,,,,120.27816,22.63531,,,,,2020/8/6 10:09
C2_397000000A_003184,2,「晶瑩剔透 喜慶雙十」 黑木國昭玻璃藝術展 台灣開展二十周年紀念,無,一般民眾,to see the official site,高雄市802苓雅區五福一路67號,886-7-7995678,高雄市政府文化局,2020/7/17 00:00,2020/8/11 23:59,,,,120.31814,22.6258,,,,,2020/8/7 19:09
C2_397000000A_003188,2,凝視與穿越：藝術典藏中的高雄百景,無,一般民眾,to see the official site,高雄市802苓雅區五福一路67號,886-7-7995678,高雄市文化中心,2020/7/1 00:00,2021/1/3 23:59,,,,120.30607,22.62839,,,,,2020/8/13 18:00
C2_397000000A_003196,2,勇闖金字塔體驗特展-高雄站,無,一般民眾,to see the official site,高雄市804鼓山區蓬萊路99號,886-7-7995678,寬宏藝術經紀股份有限公司,2020/7/4 10:30,2020/9/6 17:30,,,,120.27818,22.62004,,,,,2020/8/14 13:57
C2_397000000A_003198,2,《新浪潮》胡志龍與台大交響,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/19 19:30,2020/8/19 22:00,,,,120.33331,22.62367,,,,,2020/8/14 14:07
C2_397000000A_003201,2,《卡門》2020藝本道薩克斯風重奏團巡迴音樂會,無,一般民眾,to see the official site,高雄市830鳳山區三多一路 1 號,886-7-7995678,衛武營國家藝術文化中心,2020/8/20 19:30,2020/8/20 22:00,,,,120.34221,22.62417,,,,,2021/6/25 09:20
